Date,Shift,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI_Class,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_6,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_6,AQI_Class_lag_1,AQI_Class_lag_2,AQI_Class_lag_3,AQI_Class_lag_6
2022-12-28,Night,24.099999999999998,81.16666666666667,8.033333333333333,224.33333333333334,1013.1999999999999,0.0,75.33333333333333,74.5,109.0,1663.0,141.7,16.5,57.0,2,82.7,38.8,68.5,75.0,24.983333333333334,31.61666666666667,24.150000000000002,23.34166666666667,2.0,2.0,2.0,2.0
2022-12-29,Afternoon,31.766666666666666,38.5,7.983333333333333,333.3333333333333,1011.1666666666666,0.0,55.166666666666664,38.2,57.9,763.0,55.2,23.1,184.0,2,74.5,82.7,38.8,38.9,24.099999999999998,24.983333333333334,31.61666666666667,30.483333333333334,2.0,2.0,2.0,2.0
2022-12-29,Morning,25.05,78.5,7.7,326.0,1014.4499999999999,0.0,76.5,59.5,87.1,923.0,64.0,29.8,155.0,2,38.2,74.5,82.7,54.2,31.766666666666666,24.099999999999998,24.983333333333334,24.46666666666667,2.0,2.0,2.0,2.0
2022-12-29,Night,25.05,76.25,7.058333333333334,197.58333333333334,1013.375,0.0,99.41666666666667,59.3,85.7,1320.0,103.8,28.4,57.0,2,59.5,38.2,74.5,68.5,25.05,31.766666666666666,24.099999999999998,24.150000000000002,2.0,2.0,2.0,2.0
2022-12-30,Afternoon,28.78333333333333,58.5,2.8833333333333333,254.5,1012.6666666666666,0.08333333333333333,99.16666666666667,41.2,61.0,550.0,38.0,27.5,160.0,2,59.3,59.5,38.2,38.8,25.05,25.05,31.766666666666666,31.61666666666667,2.0,2.0,2.0,2.0
2022-12-30,Morning,25.583333333333332,77.0,5.216666666666667,294.6666666666667,1015.1,0.05000000000000001,95.66666666666667,43.5,63.3,549.0,44.8,19.9,117.0,2,41.2,59.3,59.5,82.7,28.78333333333333,25.05,25.05,24.983333333333334,2.0,2.0,2.0,2.0
2022-12-30,Night,25.291666666666668,73.33333333333333,8.366666666666667,130.83333333333334,1013.7583333333333,0.024999999999999998,99.91666666666667,72.4,105.0,1073.0,97.2,36.3,108.0,2,43.5,41.2,59.3,74.5,25.583333333333332,28.78333333333333,25.05,24.099999999999998,2.0,2.0,2.0,2.0
2022-12-31,Afternoon,30.75,43.333333333333336,10.200000000000001,274.5,1011.6333333333333,0.0,100.0,38.6,58.2,771.0,55.4,34.7,118.0,2,72.4,43.5,41.2,38.2,25.291666666666668,25.583333333333332,28.78333333333333,31.766666666666666,2.0,2.0,2.0,2.0
2022-12-31,Morning,24.95,59.166666666666664,7.816666666666666,235.16666666666666,1015.0,0.0,100.0,50.4,74.3,749.0,51.2,21.0,100.0,2,38.6,72.4,43.5,59.5,30.75,25.291666666666668,25.583333333333332,25.05,2.0,2.0,2.0,2.0
2022-12-31,Night,24.65833333333333,57.666666666666664,10.991666666666667,154.75,1013.2083333333334,0.008333333333333333,100.0,89.4,130.4,1214.0,105.2,48.5,72.0,2,50.4,38.6,72.4,59.3,24.95,30.75,25.291666666666668,25.05,2.0,2.0,2.0,2.0
